nr,name,status,return_type,param_count,param1,param2,param3,param4,param5,param6
0,osf_syscall,missing,,,,,,,,
1,exit,ok,long,1,int error_code,,,,,
2,fork,ok,long,0,,,,,,
3,read,ok,long,3,unsigned int fd,char * buf,size_t count,,,
4,write,ok,long,3,unsigned int fd,const char * buf,size_t count,,,
5,osf_old_open,todo,,,,,,,,
6,close,ok,long,1,unsigned int fd,,,,,
7,osf_wait4,ok,long,4,pid_t pid,int * ustatus,int options,struct rusage32 * ur,,
8,osf_old_creat,todo,,,,,,,,
9,link,ok,long,2,const char * oldname,const char * newname,,,,
10,unlink,ok,long,1,const char * pathname,,,,,
11,osf_execve,todo,,,,,,,,
12,chdir,ok,long,1,const char * filename,,,,,
13,fchdir,ok,long,1,unsigned int fd,,,,,
14,mknod,ok,long,3,const char * filename,umode_t mode,unsigned dev,,,
15,chmod,ok,long,2,const char * filename,umode_t mode,,,,
16,chown,ok,long,3,const char * filename,uid_t user,gid_t group,,,
17,brk,ok,long,1,unsigned long brk,,,,,
18,osf_getfsstat,todo,,,,,,,,
19,lseek,ok,long,3,unsigned int fd,off_t offset,unsigned int whence,,,
20,getxpid,ok,long,0,,,,,,
21,osf_mount,ok,long,4,unsigned long typenr,const char * path,int flag,void * data,,
22,umount2,ok,long,2,char * name,int flags,,,,
23,setuid,ok,long,1,uid_t uid,,,,,
24,getxuid,ok,long,0,,,,,,
25,exec_with_loader,todo,,,,,,,,
26,ptrace,ok,long,4,long request,long pid,unsigned long addr,unsigned long data,,
27,osf_nrecvmsg,todo,,,,,,,,
28,osf_nsendmsg,todo,,,,,,,,
29,osf_nrecvfrom,todo,,,,,,,,
30,osf_naccept,todo,,,,,,,,
31,osf_ngetpeername,todo,,,,,,,,
32,osf_ngetsockname,todo,,,,,,,,
33,access,ok,long,2,const char * filename,int mode,,,,
34,osf_chflags,todo,,,,,,,,
35,osf_fchflags,todo,,,,,,,,
36,sync,ok,long,0,,,,,,
37,kill,ok,long,2,pid_t pid,int sig,,,,
38,osf_old_stat,todo,,,,,,,,
39,setpgid,ok,long,2,pid_t pid,pid_t pgid,,,,
40,osf_old_lstat,todo,,,,,,,,
41,dup,ok,long,1,unsigned int fildes,,,,,
42,pipe,ok,long,1,int * fildes,,,,,
43,osf_set_program_attributes,ok,long,4,unsigned long text_start,unsigned long text_len,unsigned long bss_start,unsigned long bss_len,,
44,osf_profil,todo,,,,,,,,
45,open,ok,long,3,const char * filename,int flags,umode_t mode,,,
46,osf_old_sigaction,todo,,,,,,,,
47,getxgid,ok,long,0,,,,,,
48,osf_sigprocmask,ok,long,2,int how,unsigned long newmask,,,,
49,osf_getlogin,todo,,,,,,,,
50,osf_setlogin,todo,,,,,,,,
51,acct,ok,long,1,const char * name,,,,,
52,sigpending,ok,long,1,old_sigset_t * uset,,,,,
54,ioctl,ok,long,3,unsigned int fd,unsigned int cmd,unsigned long arg,,,
55,osf_reboot,todo,,,,,,,,
56,osf_revoke,todo,,,,,,,,
57,symlink,ok,long,2,const char * oldname,const char * newname,,,,
58,readlink,ok,long,3,const char * path,char * buf,int bufsiz,,,
59,execve,ok,long,3,const char * filename,const char * const * argv,const char * const * envp,,,
60,umask,ok,long,1,int mask,,,,,
61,chroot,ok,long,1,const char * filename,,,,,
62,osf_old_fstat,todo,,,,,,,,
63,getpgrp,ok,long,0,,,,,,
64,getpagesize,ok,long,0,,,,,,
65,osf_mremap,todo,,,,,,,,
66,vfork,ok,long,0,,,,,,
67,stat,ok,long,2,const char * filename,struct __old_kernel_stat * statbuf,,,,
68,lstat,ok,long,2,const char * filename,struct __old_kernel_stat * statbuf,,,,
69,osf_sbrk,todo,,,,,,,,
70,osf_sstk,todo,,,,,,,,
71,mmap,missing,,,,,,,,
72,osf_old_vadvise,todo,,,,,,,,
73,munmap,ok,long,2,unsigned long addr,size_t len,,,,
74,mprotect,ok,long,3,unsigned long start,size_t len,unsigned long prot,,,
75,madvise,ok,long,3,unsigned long start,size_t len_in,int behavior,,,
76,vhangup,ok,long,0,,,,,,
77,osf_kmodcall,todo,,,,,,,,
78,osf_mincore,todo,,,,,,,,
79,getgroups,ok,long,2,int gidsetsize,gid_t * grouplist,,,,
80,setgroups,ok,long,2,int gidsetsize,gid_t * grouplist,,,,
81,osf_old_getpgrp,todo,,,,,,,,
82,setpgrp,ok,long,2,pid_t pid,pid_t pgid,,,,
83,osf_setitimer,ok,long,3,int which,struct old_itimerval32 * in,struct old_itimerval32 * out,,,
84,osf_old_wait,todo,,,,,,,,
85,osf_table,todo,,,,,,,,
86,osf_getitimer,ok,long,2,int which,struct old_itimerval32 * it,,,,
87,gethostname,ok,long,2,char * name,int len,,,,
88,sethostname,ok,long,2,char * name,int len,,,,
89,getdtablesize,ok,long,0,,,,,,
90,dup2,ok,long,2,unsigned int oldfd,unsigned int newfd,,,,
91,fstat,ok,long,2,unsigned int fd,struct __old_kernel_stat * statbuf,,,,
92,fcntl,ok,long,3,unsigned int fd,unsigned int cmd,unsigned long arg,,,
93,osf_select,ok,long,5,int n,fd_set * inp,fd_set * outp,fd_set * exp,struct timeval32 * tvp,
94,poll,ok,long,3,struct pollfd * ufds,unsigned int nfds,int timeout_msecs,,,
95,fsync,ok,long,1,unsigned int fd,,,,,
96,setpriority,ok,long,3,int which,int who,int niceval,,,
97,socket,ok,long,3,int family,int type,int protocol,,,
98,connect,ok,long,3,int fd,struct sockaddr * uservaddr,int addrlen,,,
99,accept,ok,long,3,int fd,struct sockaddr * upeer_sockaddr,int * upeer_addrlen,,,
100,getpriority,ok,long,2,int which,int who,,,,
101,send,ok,long,4,int fd,void * buff,size_t len,unsigned int flags,,
102,recv,ok,long,4,int fd,void * ubuf,size_t size,unsigned int flags,,
103,sigreturn,missing,,,,,,,,
104,bind,ok,long,3,int fd,struct sockaddr * umyaddr,int addrlen,,,
105,setsockopt,ok,long,5,int fd,int level,int optname,char * optval,int optlen,
106,listen,ok,long,2,int fd,int backlog,,,,
107,osf_plock,todo,,,,,,,,
108,osf_old_sigvec,todo,,,,,,,,
109,osf_old_sigblock,todo,,,,,,,,
110,osf_old_sigsetmask,todo,,,,,,,,
111,sigsuspend,ok,long,1,old_sigset_t mask,,,,,
112,osf_sigstack,ok,long,2,struct sigstack * uss,struct sigstack * uoss,,,,
113,recvmsg,ok,long,3,int fd,struct user_msghdr * msg,unsigned int flags,,,
114,sendmsg,ok,long,3,int fd,struct user_msghdr * msg,unsigned int flags,,,
115,osf_old_vtrace,todo,,,,,,,,
116,osf_gettimeofday,ok,long,2,struct timeval32 * tv,struct timezone * tz,,,,
117,osf_getrusage,ok,long,2,int who,struct rusage32 * ru,,,,
118,getsockopt,ok,long,5,int fd,int level,int optname,char * optval,int * optlen,
120,readv,ok,long,3,unsigned long fd,const struct iovec * vec,unsigned long vlen,,,
121,writev,ok,long,3,unsigned long fd,const struct iovec * vec,unsigned long vlen,,,
122,osf_settimeofday,ok,long,2,struct timeval32 * tv,struct timezone * tz,,,,
123,fchown,ok,long,3,unsigned int fd,uid_t user,gid_t group,,,
124,fchmod,ok,long,2,unsigned int fd,umode_t mode,,,,
125,recvfrom,ok,long,6,int fd,void * ubuf,size_t size,unsigned int flags,struct sockaddr * addr,int * addr_len
126,setreuid,ok,long,2,uid_t ruid,uid_t euid,,,,
127,setregid,ok,long,2,gid_t rgid,gid_t egid,,,,
128,rename,ok,long,2,const char * oldname,const char * newname,,,,
129,truncate,ok,long,2,const char * path,long length,,,,
130,ftruncate,ok,long,2,unsigned int fd,unsigned long length,,,,
131,flock,ok,long,2,unsigned int fd,unsigned int cmd,,,,
132,setgid,ok,long,1,gid_t gid,,,,,
133,sendto,ok,long,6,int fd,void * buff,size_t len,unsigned int flags,struct sockaddr * addr,int addr_len
134,shutdown,ok,long,2,int fd,int how,,,,
135,socketpair,ok,long,4,int family,int type,int protocol,int * usockvec,,
136,mkdir,ok,long,2,const char * pathname,umode_t mode,,,,
137,rmdir,ok,long,1,const char * pathname,,,,,
138,osf_utimes,ok,long,2,const char * filename,struct timeval32 * tvs,,,,
139,osf_old_sigreturn,todo,,,,,,,,
140,osf_adjtime,todo,,,,,,,,
141,getpeername,ok,long,3,int fd,struct sockaddr * usockaddr,int * usockaddr_len,,,
142,osf_gethostid,todo,,,,,,,,
143,osf_sethostid,todo,,,,,,,,
